EPOCH,INCLINATION,RA_OF_ASC_NODE,ECCENTRICITY,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,anomaly
2008-06-20 21:58:25,-0.01480000000000814,-1.1180999999999983,0.0003678,26.961000000000013,-26.86099999999999,0.008623509999999612,0.0
2008-06-21 16:40:48,0.00190000000000623,-1.6259000000000015,-1.5600000000000054e-05,1.1631999999999607,-1.1795000000000186,2.362000000033504e-05,0.0
2008-06-22 16:59:55,-0.0006000000000057071,-2.1141999999999825,-1.1300000000000004e-05,-0.9180000000000064,0.9159999999999968,-1.90999999993835e-06,1.0
2008-06-23 19:11:16,-0.001300000000000523,-2.2776000000000067,-1.4599999999999921e-05,-0.43519999999995207,0.4328999999999894,-2.400000003177638e-07,1.0
2008-06-24 23:14:52,0.0,-2.4395999999999844,-6.600000000000052e-06,2.1853999999999587,-2.1875,-2.1880000000251698e-05,1.0
2008-06-24 23:14:52,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2008-06-25 01:07:07,-9.99999999891088e-05,-0.16259999999999764,-1.0999999999999725e-06,-0.009799999999984266,0.015700000000009595,-3.599999995884673e-07,1.0
2008-06-27 22:19:59,0.003999999999990678,-5.985299999999995,0.00020229999999999998,18.436399999999992,-42.92099999999999,-0.0243721800000003,1.0
2008-07-01 20:12:57,0.005900000000011119,-8.112799999999993,-0.00030659999999999997,1.3092000000000326,23.214499999999987,-0.0235056500000006,1.0
2008-07-03 02:15:30,0.01469999999999061,-2.5937999999999874,0.00017329999999999993,-10.574100000000044,10.547399999999982,-2.969999998825301e-06,1.0
2008-07-03 19:09:27,-0.0007999999999981355,-1.4549000000000092,-1.3199999999999996e-05,0.1967999999999961,-0.22090000000000032,-2.970000000601658e-06,1.0
2008-07-04 02:40:05,0.00039999999999906777,-0.6469000000000165,2.099999999999997e-06,-0.08899999999999864,0.09480000000002065,4.599999989807202e-07,1.0
2008-07-04 13:56:03,-0.019400000000004525,-0.9501999999999953,-0.0001424,9.686900000000037,-6.273300000000006,0.02659909000000127,1.0
2008-07-07 20:36:54,0.012300000000010414,-6.83359999999999,0.0001047,-16.586000000000013,12.83359999999999,-0.0003327600000009312,1.0
2008-07-08 11:36:26,0.00359999999999161,-1.297300000000007,2.7800000000000025e-05,2.140100000000018,-1.7982999999999834,-2.1700000001345643e-06,1.0
2008-07-08 22:51:01,-0.001999999999995339,-0.97199999999998,-1.4899999999999983e-05,0.8894999999999982,-0.8953000000000202,-1.8799999992324956e-06,1.0
2008-07-09 15:42:53,0.0020999999999986585,-1.4591000000000065,1.929999999999998e-05,-0.8071000000000481,0.8095000000000141,-3.7000000006059963e-06,1.0
